"id","data","banco","descricao","valor","saldo","tipo"
107,"2023-10-09","totta","Ctt - Correios",-4.00,654.00,"alc"
108,"2023-10-09","totta","Imp.Selo-Renda - Outubro 2023-E1674858",0.00,658.00,"NULL"
109,"2023-10-09","totta","Comissão-Renda - Outubro 2023-E1674858",-2.00,658.00,"NULL"
110,"2023-10-09","totta","Transferência para Maria Albertina Da Costa Neves Pime",-220.00,660.00,"Transferência"
111,"2023-10-09","totta","Transferência de Bruno Franco Alves",90.00,880.00,"Transferência"
112,"2023-10-09","totta","Via Verde",-10.00,790.00,"NULL"
113,"2023-10-09","totta","Primark Coimbra",-9.00,800.00,"vestuario"
114,"2023-10-09","totta","Primark Coimbra",-2.00,809.00,"vestuario"
115,"2023-10-09","totta","Hm Coimbra",-8.00,811.00,"bens"
116,"2023-10-09","totta","Primark Coimbra",-17.00,819.00,"vestuario"
117,"2023-10-09","totta","Meo. Sa",-53.00,836.00,"fixas"
118,"2023-10-09","totta","Adyen Nv",-74.00,889.00,"NULL"
119,"2023-10-09","totta","Adhoc Gym",-20.00,963.00,"NULL"
120,"2023-10-09","totta","Adhoc Gym",-20.00,983.00,"NULL"
121,"2023-10-09","totta","Continente Bom Dia",-18.00,1002.00,"mercado"
122,"2023-10-09","totta","Restaurante .come",-56.00,1020.00,"restaurante"
123,"2023-10-09","totta","Rest Tennessee",-29.00,1076.00,"restaurante"
124,"2023-10-06","totta","Continente",-21.00,1105.00,"mercado"
125,"2023-10-06","totta","Zara",-16.00,1126.00,"NULL"
126,"2023-10-06","totta","Burger King Forum",-3.00,1142.00,"NULL"
127,"2023-10-06","totta","Nutricao A Granel",-19.00,1145.00,"mercado"
128,"2023-10-06","totta","Transferência para Andrea",-5.00,1164.00,"Transferência"
129,"2023-10-06","totta","Cantinho Doce",-6.00,1169.00,"restaurante"
130,"2023-10-06","totta","Universo. Ime S.",-50.00,1175.00,"NULL"
131,"2023-10-06","totta","Tomatino For Coimbra",-9.00,1225.00,"NULL"
132,"2023-10-06","totta","Celeiro Forum Coimbr",-13.00,1234.00,"NULL"
133,"2023-10-06","totta","Mania Poke Bowls",-28.00,1247.00,"restaurante"
134,"2023-10-06","totta","Zara",-26.00,1275.00,"NULL"
135,"2023-10-06","totta","Zara",-26.00,1301.00,"NULL"
136,"2023-10-06","totta","Paypal Google Google",-2.00,1327.00,"NULL"
137,"2023-10-06","totta","Transferência para Domague",-44.00,1329.00,"Transferência"
138,"2023-10-04","totta","Trf.Imed.   de Transferwise-R3253903",806.00,1373.00,"NULL"
139,"2023-10-04","totta","Coffe Box",-5.00,567.00,"NULL"
140,"2023-10-04","totta","Transferência de Carlos Castanho Junior",300.00,572.00,"Transferência"
141,"2023-10-04","totta","Rest Da Terra",-21.00,272.00,"restaurante"
142,"2023-10-04","totta","Transferência para Igreja Baptista De Coimbra",-105.00,293.00,"Transferência"
143,"2023-10-04","totta","Transferência de Maria Das Gracas Dos Santos",117.00,398.00,"Transferência"
144,"2023-10-04","totta","Pagamento de conta cartão",-221.00,281.00,"NULL"
145,"2023-10-04","totta","Pagamento de conta cartão",-20.00,502.00,"NULL"
146,"2023-10-04","totta","Carregamento telemóvel",-12.00,522.00,"NULL"
147,"2023-10-04","totta","Nyx*areasportugal",-1.00,534.00,"NULL"
148,"2023-10-03","totta","Perfumes & Companhia",-41.00,536.00,"beleza"
149,"2023-10-03","totta","Auchan Coimbra",-6.00,576.00,"NULL"
150,"2023-10-03","totta","Mania Poke Bowls",-13.00,582.00,"restaurante"
151,"2023-10-03","totta","Transferência para Nr. XXXXX5869",-9.00,596.00,"Transferência"
152,"2023-10-03","totta","Pensão Instituto Nacional Do Seguro Social",291.00,604.00,"entrada"
153,"2023-10-03","totta","Transferência para Nr. XXXXX7805",-14.00,314.00,"Transferência"
154,"2023-10-03","totta","Imp.Selo de Tramitação Manual",0.00,328.00,"NULL"
155,"2023-10-03","totta","Comissão de Tramitação Manual",-5.00,328.00,"NULL"
156,"2023-10-02","totta","Credito Habitacao Geral (59/366)",-255.00,332.00,"bens"
157,"2023-10-02","totta","Seguro multi-riscos",-15.00,587.00,"NULL"
158,"2023-10-02","totta","Seguro de vida",-41.00,603.00,"NULL"
159,"2023-10-02","totta","Via Verde",-2.00,644.00,"NULL"
160,"2023-10-02","totta","Aegon Santander",-37.00,646.00,"seguro"
161,"2023-10-02","totta","Petrogal",-15.00,683.00,"fixas"
162,"2023-10-02","totta","Municipio De Con",-41.00,697.00,"fixas"
163,"2023-09-29","totta","Trf.Imed.   de Transferwise-R3196383",150.00,738.00,"NULL"
164,"2023-09-29","totta","Levantamento Condeixa-a-nova",-10.00,588.00,"NULL"
165,"2023-09-29","totta","Continente",-7.00,598.00,"mercado"
166,"2023-09-29","totta","Celeiro Forum Coimbr",-17.00,606.00,"NULL"
167,"2023-09-29","totta","Nails 4 Us",-29.00,622.00,"beleza"
168,"2023-09-29","totta","Subscrição Ppr Cap. Garantido",-25.00,651.00,"NULL"
169,"2023-09-28","totta","Transferência de Elira Samara Silva",600.00,676.00,"Transferência"
170,"2023-09-28","totta","Irn Nacionalidade",-250.00,76.00,"alc"
171,"2023-09-28","totta","Irn Nacionalidade",-175.00,326.00,"alc"
172,"2023-09-28","totta","Paypal Microsoft",-7.00,501.00,"Microsoft"
173,"2023-09-28","totta","Vodafone Portuga",-39.00,508.00,"fixas"
174,"2023-09-26","totta","Trf.Imed.   de Julio Cesar de Sousa Baiao-R3151344",175.00,548.00,"NULL"
175,"2023-09-25","totta","Levantamento Coimbra",-20.00,373.00,"NULL"
176,"2023-09-25","totta","Adhoc Gym",-20.00,393.00,"NULL"
177,"2023-09-25","totta","Adhoc Gym",-20.00,413.00,"NULL"
178,"2023-09-25","totta","Transferência de Marcelo Souza Pinto",446.00,433.00,"Transferência"
179,"2023-09-25","totta","Aegon Santander",-27.00,-13.00,"seguro"
180,"2023-09-25","totta","Continente Bom Dia",-3.00,14.00,"mercado"
181,"2023-09-25","totta","Mini Preco Vasco Val",-2.00,17.00,"mercado"
182,"2023-09-22","totta","Antonio Manuel",-6.00,19.00,"NULL"
183,"2023-09-22","totta","Quintalao Livraria",-15.00,25.00,"diversos"
184,"2023-09-22","totta","Nutricao A Granel",-37.00,40.00,"mercado"
185,"2023-09-22","totta","Levantamento Condeixa-a-nova",-10.00,77.00,"NULL"
186,"2023-09-22","totta","Via Verde",-35.00,87.00,"NULL"
187,"2023-09-22","totta","Paypal Spotify",-8.00,122.00,"lazer"
188,"2023-09-21","totta","Carregamento Vodafone Sa",-12.00,130.00,"fixas"
189,"2023-09-20","totta","Paypal Disneyplus",-9.00,142.00,"lazer"
190,"2023-09-18","totta","Transferência para Igreja Baptista De Coimbra",-45.00,151.00,"Transferência"
191,"2023-09-15","totta","Transferência para Nr. XXXXX7805",-40.00,196.00,"Transferência"
192,"2023-09-15","totta","Via Verde",-3.00,236.00,"NULL"
193,"2023-09-14","totta","Transferência de Nilo Antonio Rocha",100.00,238.00,"Transferência"
194,"2023-09-13","totta","Transferência de Adriana Levindo",45.00,138.00,"Transferência"
195,"2023-09-13","totta","Paypal Google Google",-2.00,93.00,"NULL"
196,"2023-09-12","totta","Correia & Combo,lda",-4.00,95.00,"NULL"
197,"2023-09-12","totta","Transferência para Marcley",-15.00,99.00,"Transferência"
198,"2023-09-12","totta","Carregamento Vodafone Sa",-16.00,114.00,"fixas"
199,"2023-09-11","totta","Transferência de Marcley Costa Carvalho",200.00,130.00,"Transferência"
200,"2023-09-11","totta","Débito Direto-Petrogal-00000068658",-79.00,-70.00,"fixas"
201,"2023-09-11","totta","Transferência para Nr. XXXXX2016",-20.00,9.00,"Transferência"
202,"2023-09-11","totta","Imposto do Selo sobre comissão",0.00,29.00,"NULL"
203,"2023-09-11","totta","Comissão de manutenção de conta pacote",-6.00,29.00,"NULL"
204,"2023-09-08","totta","Transferência para Nr. XXXXX9792",-100.00,35.00,"Transferência"
205,"2023-09-08","totta","Transferência de Maria Das Gracas Dos Santos",110.00,135.00,"Transferência"
206,"2023-09-08","totta","Via Verde",-17.00,25.00,"NULL"
207,"2023-09-07","totta","Pagamento Irn",-175.00,41.00,"alc"
208,"2023-09-07","totta","Cantinho Doce",-9.00,216.00,"restaurante"
209,"2023-09-07","totta","Celeiro Forum Coimbr",-11.00,225.00,"NULL"
210,"2023-09-07","totta","B25 Parfois Cc Forum",-28.00,237.00,"NULL"
211,"2023-09-07","totta","Nails 4 Us",-29.00,265.00,"beleza"
212,"2023-09-07","totta","Adyen Nv",-74.00,294.00,"NULL"
213,"2023-09-06","totta","Transferência para Nr. Xxxxx2551",-10.00,368.00,"Transferência"
214,"2023-09-06","totta","Fnac Forum Coimbra",-14.00,378.00,"NULL"
215,"2023-09-06","totta","Via Verde",-5.00,392.00,"NULL"
216,"2023-09-06","totta","Meo. Sa",-47.00,397.00,"fixas"
217,"2023-09-06","totta","Petrogal",-13.00,444.00,"fixas"
218,"2023-09-06","totta","Universo. Ime S.",-50.00,456.00,"NULL"
219,"2023-09-05","totta","Trf.Imed.   de Daniela Gorgatti-R2946064",338.00,506.00,"NULL"
220,"2023-09-05","totta","Mdtec",-18.00,169.00,"alc"
221,"2023-09-05","totta","Ctt - Correios",-9.00,186.00,"alc"
222,"2023-09-05","totta","Pagamento de conta cartão",-20.00,195.00,"NULL"
223,"2023-09-05","totta","Pagamento de conta cartão",-223.00,215.00,"NULL"
224,"2023-09-05","totta","Transferência de Maria Das Gracas Dos Santos",117.00,438.00,"Transferência"
225,"2023-09-05","totta","Continente Bom Dia",-33.00,321.00,"mercado"
226,"2023-09-05","totta","Paypal Google Google",-2.00,354.00,"NULL"
227,"2023-09-05","totta","Transferência para Domague",-44.00,356.00,"Transferência"
228,"2023-09-05","totta","Transferência de Bruno Franco Alves",100.00,400.00,"Transferência"
229,"2023-09-04","totta","Pagamento de serviços",-175.00,300.00,"NULL"
230,"2023-09-04","totta","Pagamento de serviços",-175.00,475.00,"NULL"
231,"2023-09-04","totta","Transferência para Igreja Baptista De C",-50.00,650.00,"Transferência"
232,"2023-09-04","totta","Pagamento Irn",-150.00,700.00,"alc"
233,"2023-09-04","totta","Universid De Coimbra",-20.00,850.00,"NULL"
234,"2023-09-04","totta","Sumup *catarina Geral",-20.00,870.00,"NULL"
235,"2023-09-04","totta","Lidl Agradece",-46.00,890.00,"mercado"
236,"2023-09-04","totta","Mini Preco Vasco Val",-19.00,936.00,"mercado"
237,"2023-09-04","totta","Cantinho Doce",-44.00,954.00,"restaurante"
238,"2023-09-04","totta","Inter Condeixa",-48.00,998.00,"mercado"
239,"2023-09-04","totta","Credito Habitacao Geral (58/366)",-255.00,1046.00,"bens"
240,"2023-09-04","totta","Seguro multi-riscos",-15.00,1301.00,"NULL"
241,"2023-09-04","totta","Seguro de vida",-41.00,1316.00,"NULL"
242,"2023-09-01","totta","Levantamento Figueira Da Foz",-20.00,1357.00,"NULL"
243,"2023-09-01","totta","Pensão Instituto Nacional Do Seguro Social",289.00,1377.00,"entrada"
244,"2023-09-01","totta","Comissão de disponibilização de cartão de débito",-6.00,1088.00,"NULL"
245,"2023-09-01","totta","Imposto do selo sobre comissão",0.00,1094.00,"NULL"
246,"2023-09-01","totta","Via Verde",-7.00,1095.00,"NULL"
247,"2023-09-01","totta","Municipio De Con",-49.00,1101.00,"fixas"
248,"2023-08-31","totta","Trf.Imed.   de Transferwise-R2889438",200.00,1150.00,"NULL"
249,"2023-08-31","totta","Springfield Forum",-27.00,950.00,"NULL"
250,"2023-08-31","totta","Springfield Forum",-28.00,977.00,"NULL"
251,"2023-08-31","totta","Triumph",-90.00,1005.00,"NULL"
252,"2023-08-31","totta","Arcadia",-3.00,1095.00,"NULL"
253,"2023-08-31","totta","Continente Coimbra",-24.00,1098.00,"mercado"
254,"2023-08-31","totta","Carregamento telemóvel",-13.00,1122.00,"NULL"
255,"2023-08-31","totta","Transferência para Nr. XXXXX5575",-40.00,1135.00,"Transferência"
256,"2023-08-31","totta","Transferência de Mariana Bastos",40.00,1175.00,"Transferência"
257,"2023-08-31","totta","Subscrição Ppr Cap. Garantido",-25.00,1135.00,"NULL"
258,"2023-08-30","totta","Carregamento Vodafone Sa",-12.00,1160.00,"fixas"
259,"2023-08-30","totta","Irn Nacionalidade",-200.00,1172.00,"alc"
260,"2023-08-30","totta","Aegon Santander",-37.00,1372.00,"seguro"
261,"2023-08-30","totta","Vodafone Portuga",-39.00,1408.00,"fixas"
262,"2023-08-29","totta","Paypal Microsoft",-7.00,1448.00,"Microsoft"
263,"2023-08-28","totta","Continente Bom Dia",-10.00,1455.00,"mercado"
264,"2023-08-28","totta","Lidl Agradece",-22.00,1464.00,"mercado"
265,"2023-08-28","totta","Ctt - Correios",-5.00,1487.00,"alc"
266,"2023-08-28","totta","Transferência para Nr. XXXXX0584",-16.00,1491.00,"Transferência"
267,"2023-08-28","totta","Depósito Condeixa-a-nova",1100.00,1507.00,"NULL"
268,"2023-08-28","totta","Transferência para Igreja Baptista De Coimbra",-111.00,407.00,"Transferência"
269,"2023-08-28","totta","Trf. Cobr DUC 104023008282990",-437.00,518.00,"NULL"
270,"2023-08-28","totta","Transferência de Elira Samara Silva",700.00,955.00,"Transferência"
271,"2023-08-28","totta","Adhoc Gym",-20.00,255.00,"NULL"
272,"2023-08-28","totta","Adhoc Gym",-20.00,275.00,"NULL"
273,"2023-08-28","totta","Ana Sousa",-8.00,295.00,"NULL"
274,"2023-08-28","totta","Mango-forum Coimbra",-55.00,303.00,"vestuario"
275,"2023-08-28","totta","Zara",-18.00,358.00,"NULL"
276,"2023-08-28","totta","Zara",-13.00,376.00,"NULL"
277,"2023-08-28","totta","B41 - Leiria Shop",-10.00,389.00,"NULL"
278,"2023-08-28","totta","Tezenis Leiria Shopp",-7.00,399.00,"NULL"
279,"2023-08-28","totta","Supermesura Lda",-56.00,406.00,"NULL"
280,"2023-08-25","totta","Regional Cabrito",-30.00,462.00,"restaurante"
281,"2023-08-25","totta","Hotelarias O Pote",-7.00,492.00,"restaurante"
282,"2023-08-25","totta","Mini Preco Vasco Val",-8.00,499.00,"mercado"
283,"2023-08-25","totta","Imo Auto Lavagens",-7.00,507.00,"transporte"
284,"2023-08-25","totta","Hm Coimbra",-47.00,514.00,"bens"
285,"2023-08-24","totta","Seaside",-35.00,561.00,"NULL"
286,"2023-08-24","totta","Zara",-46.00,595.00,"NULL"
287,"2023-08-24","totta","Pes Em Frente - Alma",-10.00,641.00,"NULL"
288,"2023-08-24","totta","Vitaminas Alma Shop",-10.00,651.00,"NULL"
289,"2023-08-24","totta","Vitaminas Alma Shop",-13.00,661.00,"NULL"
290,"2023-08-24","totta","Ana Sousa",-84.00,674.00,"NULL"
291,"2023-08-24","totta","Auchan Coimbra",-24.00,758.00,"NULL"
292,"2023-08-24","totta","Celeiro Dieta",-11.00,782.00,"NULL"
293,"2023-08-24","totta","Seaside Dolce Vita",-10.00,793.00,"NULL"
294,"2023-08-24","totta","Levantamento Coimbra",-20.00,804.00,"NULL"
295,"2023-08-24","totta","Aegon Santander",-27.00,824.00,"seguro"
296,"2023-08-23","totta","Transferência para Andrea",-5.00,851.00,"Transferência"
297,"2023-08-23","totta","C A Modas",-36.00,856.00,"NULL"
298,"2023-08-23","totta","Zara",-100.00,892.00,"NULL"
299,"2023-08-23","totta","Quiosque Delta",-3.00,992.00,"NULL"
300,"2023-08-23","totta","Quintalao Livraria",-80.00,995.00,"diversos"
301,"2023-08-23","totta","Pagamento Irn",-175.00,1075.00,"alc"
302,"2023-08-23","totta","Irn Nacionalidade",-120.00,1250.00,"alc"
303,"2023-08-22","totta","Celeiro Forum Coimbr",-8.00,1370.00,"NULL"
304,"2023-08-22","totta","Continente",-22.00,1378.00,"mercado"
305,"2023-08-22","totta","Mcdonalds Almegue",-11.00,1400.00,"NULL"
306,"2023-08-22","totta","Zara",-120.00,1411.00,"NULL"
307,"2023-08-22","totta","Perfumes E Companhia",-10.00,1531.00,"beleza"
308,"2023-08-22","totta","Celeiro Forum Coimbr",-82.00,1541.00,"NULL"
309,"2023-08-22","totta","Paypal Spotify",-7.00,1623.00,"lazer"
310,"2023-08-22","totta","Paypal *disneyplus",-9.00,1630.00,"NULL"
311,"2023-08-22","totta","The Body Shop",-20.00,1639.00,"NULL"
312,"2023-08-21","totta","Transferência de Marcelo Bertucci",200.00,1659.00,"Transferência"
313,"2023-08-21","totta","Carregamento Vodafone",-12.00,1459.00,"fixas"
314,"2023-08-21","totta","O Croissant B Rest",-36.00,1471.00,"restaurante"
315,"2023-08-21","totta","Simao, Meneses",-7.00,1507.00,"NULL"
316,"2023-08-21","totta","Carregamento telemóvel",-13.00,1513.00,"NULL"
317,"2023-08-21","totta","Transferência para Andrea",-15.00,1526.00,"Transferência"
318,"2023-08-21","totta","Inter Condeixa",-42.00,1541.00,"mercado"
319,"2023-08-21","totta","Transferência para Nr. Xxxxx7805",-40.00,1583.00,"Transferência"
320,"2023-08-21","totta","Transferência para Nr. Xxxxx9792",-80.00,1623.00,"Transferência"
321,"2023-08-21","totta","Transferência de Maria Das Gracas Dos Santos",80.00,1703.00,"Transferência"
322,"2023-08-21","totta","Inter Condeixa",-4.00,1623.00,"mercado"
323,"2023-08-18","totta","Q Sabor Hamb",-8.00,1627.00,"restaurante"
324,"2023-08-18","totta","Transferência para Igreja Baptista De Coimbra",-80.00,1635.00,"Transferência"
325,"2023-08-18","totta","Dux - Taberna Urbana",-39.00,1715.00,"NULL"
326,"2023-08-18","totta","Moinho Velho. Lda Coimbra",-5.00,1754.00,"restaurante"
327,"2023-08-18","totta","Petrogal",-75.00,1759.00,"fixas"
328,"2023-08-17","totta","Continente",-26.00,1834.00,"mercado"
329,"2023-08-17","totta","Celeiro Forum Coimbr",-22.00,1860.00,"NULL"
330,"2023-08-17","totta","Oysho",-23.00,1882.00,"vestuario"
331,"2023-08-17","totta","Graos E Canela Lda",-5.00,1905.00,"NULL"
332,"2023-08-16","totta","Homa Coimbra",-12.00,1910.00,"bens"
333,"2023-08-16","totta","Carregamento Vodafone",-12.00,1922.00,"fixas"
334,"2023-08-16","totta","Ctt - Correios",-5.00,1934.00,"alc"
335,"2023-08-16","totta","Pagamento Sa",-92.00,1939.00,"NULL"
336,"2023-08-16","totta","Lidl Agradece",-22.00,2031.00,"mercado"
337,"2023-08-16","totta","Intermarche Taveiro",-4.00,2053.00,"mercado"
338,"2023-08-16","totta","Intermarche Taveiro",-16.00,2057.00,"mercado"
339,"2023-08-16","totta","Marec Espaco Casa Sa",-15.00,2074.00,"NULL"
340,"2023-08-16","totta","Homa Coimbra",-12.00,2089.00,"bens"
341,"2023-08-16","totta","Transferência de Neil V P Santos",26.00,2101.00,"Transferência"
342,"2023-08-16","totta","Continente Bom Dia",-27.00,2075.00,"mercado"
343,"2023-08-16","totta","Via Verde",-8.00,2101.00,"NULL"
344,"2023-08-14","totta","Trf.Imed.   de Transferwise-R2722770",660.00,2109.00,"NULL"
345,"2023-08-14","totta","Transferência para Nr. XXXXX8054",-11.00,1449.00,"Transferência"
